Config,E,RMSE,U_spatial,DeltaT_max,CR,N_sw,J
Single,5.3125,7.767182138300804,7.568129113210364,39.36065845898735,0.2011604912572856,1,0.427870602438101
A: Vert+Horiz,5.9375,2.739439784724983,2.52599319413297,6.822393616576228,0.7405330627255066,1,0.39098789455739347
B: Corner+Far,44.0625,32.11270601084264,19.215466820785057,97.20052009187074,0.22518127255065223,1,0.9662228091174022
C: Center+Top,5.9375,3.5365157769724687,3.3510149385492287,7.543295802380385,0.6489730779905635,1,0.41203969041843314
