x_h,y_h,x_s,y_s,source,bc,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial,J_Balanced,J_Comfort,J_Energy
0.5,0.5,0.5,0.5,point,RNNN,0.9375,5.377650517241241,247.85372631721685,0.05221354166666667,120.0,3,1.9953200835161804,0.42679557436539484,0.4621604063595667,0.3647905266946472
0.5,0.5,1.5,0.5,point,RNNN,7.1875,15.234366664708524,486.86163062036076,0.10021484375000002,120.0,1,13.641316094806053,0.4543690818977706,0.5120579667674517,0.3912530449036773
0.5,0.5,2.5,0.5,point,RNNN,28.4375,49.0380465200274,685.978750929655,0.08298828124999999,120.0,1,45.372886654173456,0.6438938460629345,0.6957874306673656,0.6018576430085751
0.5,0.5,3.5,0.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,4.5,0.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,0.5,1.5,point,RNNN,7.1875,15.234366664708524,486.86163062036076,0.10021484375000002,120.0,1,13.641316094806053,0.4543690818977706,0.5120579667674517,0.3912530449036773
0.5,0.5,1.5,1.5,point,RNNN,14.6875,28.225632928351143,576.7022318027979,0.09009114583333333,120.0,1,26.068512848245117,0.5282824691049238,0.5852140102227521,0.47068669217014114
0.5,0.5,2.5,1.5,point,RNNN,35.3125,57.75703530555995,726.3895100811318,0.08180989583333334,120.0,1,53.191512627440325,0.693950346479755,0.7424166238532888,0.6616070995677238
0.5,0.5,3.5,1.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,4.5,1.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,0.5,2.5,point,RNNN,25.3125,44.68596789219863,665.0125475460709,0.08395182291666667,120.0,1,41.397380878432735,0.6194860909476134,0.6727719666386734,0.5734411891483334
0.5,0.5,1.5,2.5,point,RNNN,34.0625,56.263574022271456,719.5577410448952,0.08194010416666668,120.0,1,51.86892772337672,0.6852210211696795,0.734343267430969,0.651027918431228
0.5,0.5,2.5,2.5,point,RNNN,54.0625,74.03570407863269,808.7253857879315,0.081484375,120.0,1,66.82990191117591,0.8030586243616731,0.8404861103026577,0.803309238446278
0.5,0.5,3.5,2.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
0.5,0.5,4.5,2.5,point,RNNN,60.0,75.62234056128656,827.9031663198757,0.081484375,120.0,0,68.00733462795343,0.8008203677237969,0.842697705029846,0.813905359256618
