x_h,y_h,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial,J,J_con
0.3,0.3,25.9375,35.46982246421931,192.82241036529942,0.16086914062500002,120.0,1,30.158538851092636,0.8309675422052667,16.39130859375
0.531578947368421,0.3,22.8125,30.0535060160862,150.88589441283156,0.170693359375,120.0,1,25.59259087979929,0.748610624019795,16.29306640625
0.7631578947368421,0.3,20.3125,25.595173871192163,120.04071551133688,0.18083007812500002,120.0,1,21.803467868504413,0.683456111758873,16.19169921875
0.9947368421052631,0.3,17.8125,21.385269665334693,97.89695710477858,0.19440755208333332,120.0,1,18.254709470991436,0.6253254073784009,16.05592447916667
1.2263157894736842,0.3,15.3125,17.449508879810672,80.90634687181284,0.21011067708333334,120.0,1,14.97502033990781,0.5721381291152074,15.898893229166667
1.4578947368421054,0.3,13.4375,14.509786076198958,69.30712025036833,0.23016276041666667,120.0,1,12.51111426847757,0.5318685414405876,15.698372395833333
1.6894736842105265,0.3,12.1875,12.51673887530814,61.814443670750194,0.24622395833333333,120.0,1,10.815259531128778,0.5045747307586708,15.537760416666668
1.9210526315789476,0.3,10.9375,10.733717215149934,55.118872145490556,0.2632161458333333,120.0,1,9.329155514950298,0.47900699353898124,15.367838541666668
2.1526315789473687,0.3,10.3125,9.803261673865338,51.64188119835386,0.2745052083333333,120.0,1,8.530239899007098,0.46547100742859926,15.254947916666667
2.3842105263157896,0.3,9.6875,9.021229097535299,48.4939071046599,0.29263020833333336,120.0,1,7.892497791587155,0.45206707277638525,15.073697916666667
2.6157894736842104,0.3,9.6875,9.021229097535299,48.4939071046599,0.29263020833333336,120.0,1,7.892497791587155,0.45206707277638525,15.073697916666667
2.8473684210526318,0.3,10.3125,9.803261673865332,51.64188119835384,0.2745052083333333,120.0,1,8.530239899007096,0.46547100742859926,15.254947916666667
3.0789473684210527,0.3,10.9375,10.733717215149934,55.118872145490556,0.2632161458333333,120.0,1,9.329155514950298,0.47900699353898124,15.367838541666668
3.310526315789474,0.3,12.1875,12.516738875308143,61.814443670750194,0.24622395833333333,120.0,1,10.81525953112878,0.5045747307586708,15.537760416666668
3.542105263157895,0.3,13.4375,14.509786076198958,69.30712025036833,0.23016276041666667,120.0,1,12.51111426847757,0.5318685414405876,15.698372395833333
3.773684210526316,0.3,15.3125,17.449508879810672,80.90634687181284,0.21011067708333334,120.0,1,14.97502033990781,0.5721381291152074,15.898893229166667
4.0052631578947375,0.3,17.8125,21.385269665334697,97.89695710477861,0.19440755208333332,120.0,1,18.254709470991436,0.6253254073784009,16.05592447916667
4.236842105263158,0.3,20.3125,25.59517387119216,120.04071551133691,0.18083007812500002,120.0,1,21.803467868504413,0.683456111758873,16.19169921875
4.468421052631579,0.3,22.8125,30.0535060160862,150.8858944128316,0.170693359375,120.0,1,25.592590879799292,0.748610624019795,16.29306640625
4.7,0.3,25.9375,35.46982246421931,192.82241036529942,0.16086914062500002,120.0,1,30.158538851092636,0.8309675422052667,16.39130859375
0.3,0.531578947368421,22.8125,30.574430007504592,158.7510628305628,0.17099283854166666,120.0,1,26.03778701622362,0.7572405862959855,16.290071614583333
0.531578947368421,0.531578947368421,20.3125,26.05760010042773,124.34574547536735,0.18170898437500002,120.0,1,22.215972426316778,0.6891849580071183,16.18291015625
0.7631578947368421,0.531578947368421,17.1875,21.007800217629818,94.29254067100884,0.19411132812499998,120.0,1,18.029256931876134,0.6169093498113926,16.058886718750003
0.9947368421052631,0.531578947368421,14.6875,16.96954333021146,75.09915176541969,0.20723307291666665,120.0,1,14.669213964753226,0.5619520254677672,15.927669270833334
1.2263157894736842,0.531578947368421,12.8125,13.929591657822053,62.46424929612216,0.22287109375,120.0,1,12.12072921287652,0.5210037591848192,15.7712890625
1.4578947368421054,0.531578947368421,10.9375,11.146260479641905,51.8914556028155,0.24673177083333334,120.0,1,9.814857260908116,0.4818497116655073,15.532682291666667
1.6894736842105265,0.531578947368421,9.6875,9.292073018304889,45.033834632459886,0.26857421875000004,120.0,1,8.251065459158225,0.4549965147909275,15.314257812500001
1.9210526315789476,0.531578947368421,8.4375,7.649356859249017,38.77796122783724,0.3019954427083333,120.0,1,6.87633450951108,0.4281470106854651,14.980045572916667
2.1526315789473687,0.531578947368421,7.8125,6.816377294212121,35.557461959255264,0.35145507812500004,120.0,1,6.150234538710317,0.40967336046581393,14.48544921875
2.3842105263157896,0.531578947368421,7.8125,6.711135686164198,35.28194599409917,0.37495442708333343,120.0,1,6.029139033019365,0.4052987337936631,14.250455729166667
2.6157894736842104,0.531578947368421,7.8125,6.711135686164198,35.28194599409917,0.37495442708333343,120.0,1,6.029139033019365,0.4052987337936631,14.250455729166667
2.8473684210526318,0.531578947368421,7.8125,6.816377294212121,35.55746195925526,0.35145507812500004,120.0,1,6.150234538710317,0.40967336046581393,14.48544921875
3.0789473684210527,0.531578947368421,8.4375,7.649356859249017,38.77796122783724,0.3019954427083333,120.0,1,6.876334509511079,0.4281470106854651,14.980045572916667
3.310526315789474,0.531578947368421,9.6875,9.292073018304887,45.033834632459886,0.26857421875000004,120.0,1,8.251065459158223,0.4549965147909275,15.314257812500001
3.542105263157895,0.531578947368421,10.9375,11.146260479641901,51.89145560281548,0.24673177083333334,120.0,1,9.814857260908111,0.48184971166550716,15.532682291666667
3.773684210526316,0.531578947368421,12.8125,13.929591657822057,62.46424929612216,0.22287109375,120.0,1,12.12072921287652,0.5210037591848192,15.7712890625
