x_s,y_s,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial,SensorBias,J,J_con
0.3,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,29.0822328667328,0.8235302734375001,16.2353515625
0.531578947368421,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.99224089812091,0.8235302734375001,16.2353515625
0.7631578947368421,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.87911260324135,0.8235302734375001,16.2353515625
0.9947368421052631,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.757158588223874,0.8235302734375001,16.2353515625
1.2263157894736842,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.643966831712902,0.8235302734375001,16.2353515625
1.4578947368421054,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.554722937128027,0.8235302734375001,16.2353515625
1.6894736842105265,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.501573040495323,0.8235302734375001,16.2353515625
1.9210526315789476,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.49290559415906,0.8235302734375001,16.2353515625
2.1526315789473687,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.532576714313784,0.8235302734375001,16.2353515625
2.3842105263157896,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.619716741133118,0.8235302734375001,16.2353515625
2.6157894736842104,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.74912535002776,0.8235302734375001,16.2353515625
2.8473684210526318,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.912162357379216,0.8235302734375001,16.2353515625
3.0789473684210527,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,29.097962843306153,0.8235302734375001,16.2353515625
3.310526315789474,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,29.294763907596664,0.8235302734375001,16.2353515625
3.542105263157895,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,29.491132396292738,0.8235302734375001,16.2353515625
3.773684210526316,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,29.676924907576943,0.8235302734375001,16.2353515625
4.0052631578947375,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,29.843881384769613,0.8235302734375001,16.2353515625
4.236842105263158,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,29.984008253588353,0.8235302734375001,16.2353515625
4.468421052631579,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,30.09383000921296,0.8235302734375001,16.2353515625
4.7,0.3,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,30.17171944526518,0.8235302734375001,16.2353515625
0.3,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.018671556228995,0.8235302734375001,16.2353515625
0.531578947368421,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.885255218348355,0.8235302734375001,16.2353515625
0.7631578947368421,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.71772045810378,0.8235302734375001,16.2353515625
0.9947368421052631,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.53711303504599,0.8235302734375001,16.2353515625
1.2263157894736842,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.369237208825012,0.8235302734375001,16.2353515625
1.4578947368421054,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.236381628146905,0.8235302734375001,16.2353515625
1.6894736842105265,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.15635093349719,0.8235302734375001,16.2353515625
1.9210526315789476,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.1413766320461,0.8235302734375001,16.2353515625
2.1526315789473687,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.196947977958605,0.8235302734375001,16.2353515625
2.3842105263157896,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.321528600011863,0.8235302734375001,16.2353515625
2.6157894736842104,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.5071773972705,0.8235302734375001,16.2353515625
2.8473684210526318,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,27.74092918654913,0.8235302734375001,16.2353515625
3.0789473684210527,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.006663597465455,0.8235302734375001,16.2353515625
3.310526315789474,0.531578947368421,60.0,43.25302987864572,162.56457091399298,0.17646484375,120.0,0,28.75260882244229,28.2871256671424,0.8235302734375001,16.2353515625
