x_h,y_h,J,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial
1.8451505016722414,3.4638795986622055,0.33890317680799975,1.25,3.938316104941254,7.542286698175328,0.3543388429752066,60.0,1,2.6134737487262285
1.8951505016722414,3.063879598662207,0.3392518533790913,1.25,3.825536289032902,7.3051564511818725,0.34538567493112954,60.0,1,2.4407112964303668
1.8951505016722414,3.1138795986622068,0.33935160785552604,1.25,3.835608934370225,7.272861952145309,0.3450413223140496,60.0,1,2.456844863531052
1.8951505016722414,3.4638795986622055,0.3394477517948116,1.25,3.9290940363886038,7.59869844285517,0.3505509641873278,60.0,1,2.5998848344900116
1.8451505016722414,3.4138795986622057,0.33954744085090427,1.25,3.922224035987842,7.455492980328078,0.3488292011019284,60.0,1,2.5895772092885796
1.545150501672241,3.1638795986622066,0.3395885027064685,1.25,3.9287570726049705,7.5153662838448625,0.34917355371900827,60.0,1,2.597033693748401
1.8451505016722414,3.013879598662207,0.33962257967474985,1.25,3.8250162534498187,7.254254806459631,0.34263085399449034,60.0,1,2.439167293555624
1.545150501672241,3.1138795986622068,0.3397097939506598,1.25,3.9176120656209434,7.576790201957145,0.34814049586776863,60.0,1,2.5799770872229155
1.7951505016722413,3.1638795986622066,0.33977721642189623,1.25,3.865189821974262,7.076565064079681,0.34263085399449034,60.0,1,2.5024424084492
1.9451505016722415,3.1138795986622068,0.33977923319581965,1.25,3.8275740696550193,7.300093832123931,0.3419421487603306,60.0,1,2.4445012669138433
1.7951505016722413,3.2138795986622064,0.3398478287458172,1.25,3.8768866033198126,6.990587156936034,0.34228650137741046,60.0,1,2.5206000334489724
1.8451505016722414,3.1138795986622068,0.33989049152166917,1.25,3.8445035864421695,7.21790916808785,0.3415977961432507,60.0,1,2.470445037982481
1.8451505016722414,3.1638795986622066,0.339923446388147,1.25,3.8553649566073047,7.158237992836227,0.3415977961432507,60.0,1,2.4875658317938076
1.8951505016722414,3.4138795986622057,0.33993718327737554,1.25,3.913060623553926,7.511514350814693,0.3460743801652893,60.0,1,2.5759976657984436
1.8451505016722414,3.063879598662207,0.33994535795209924,1.25,3.8343993848326923,7.250059065756066,0.34090909090909094,60.0,1,2.4543270568687565
