Geometry,Heater,Thermostat,E,RMSE,U_spatial,DeltaT_max,CR,N_sw
Square 5x5,"(1.9,4.0)","(1.7,2.4)",5.3125,5.223580487149498,5.0441557819539,19.986357576556976,0.3782649739583333,1
Rectangle 7.5x2.5,"(2.1,1.7)","(1.0,0.4)",7.1875,6.118678544554578,5.807432609741353,22.046660528927262,0.33675347222222224,1
L-shape,"(2.8,2.4)","(2.6,0.8)",5.9375,3.9299892163331,3.598865568103532,19.65992020996896,0.5807920482930892,1
