dx,Nx,Ny,N_t,E,RMSE,DeltaT_max,CR,t_s,N_sw,U_spatial,T_mean_final
0.5,11,11,25,6.039935317642842,5.381554451567035,24.94028182329555,0.36781250000000004,105.0,3,5.097058171095292,20.221355573155687
0.25,21,21,97,6.600753699055332,4.778643084372941,23.23336160882716,0.3998893229166667,10.0,46,4.534663538726345,19.891701229149024
0.125,41,41,385,6.821593963945477,4.712456824092806,21.958317534274777,0.408101806640625,9.375,0,4.4729809282707755,19.885569625327058
