Rank,Strategy,Energy E,RMSE,Max Overshoot,Comfort Ratio,Settling Time,Switches,Avg Temp (°C),J (Balanced),J (Comfort),J (Energy)
1,LQR,94.05258871461805,0.7138510687825587,0.0,0.9626666666666667,3.5700000000000003,0,19.842124431696693,0.342629788428793,0.2948397960933946,0.45390613648380207
2,Bang-Bang,94.0500000000007,0.7138841249652953,0.009995213808942083,0.9626666666666667,3.5700000000000003,4476,19.84169384058621,0.49385344496346745,0.396471306595874,0.6047175465059319
3,PID,94.70289645413584,0.7693490196123876,1.1459315424320984,0.9626666666666667,10.11,0,19.949658214834248,0.5137454173852893,0.5122150409032448,0.5766634845010494
4,PI,94.70000033483679,0.7677725698283812,1.229462270053805,0.9626666666666667,9.65,0,19.950008299763965,0.5223863630948845,0.5242545588168428,0.5819819192101912
5,P,89.30525497195615,0.996248388453249,0.0,0.9626666666666667,60.0,0,19.169942742962863,0.5470506709652849,0.5017671139768567,0.6366346752639033
6,Hysteresis,93.92500000000001,0.7684934760893275,0.5084745317619621,0.9626666666666667,59.65,66,19.84263597150724,0.5605877510453952,0.532806592638536,0.6482408656877424
