x_h,x_s,source,bc,E,RMSE,DeltaT_max,CR,t_s,N_sw,J_Balanced,J_Comfort,J_Energy
0.25,0.25,point,NR,10.55000000000001,4.290980005497898,1.9811016025854151,0.2969615384615384,60.0,205,0.3761574795897912,0.38716816092011164,0.3517190317581046
0.25,0.5714285714285714,point,NR,12.249999999999996,3.7516547503051716,11.342614335590042,0.4156538461538462,60.0,31,0.32338348410292145,0.3476496932937571,0.3045409228525584
0.25,0.8928571428571429,point,NR,12.550000000000008,3.5850057682501477,16.303687305017156,0.4618974358974359,60.0,19,0.3195429633994977,0.34484947545811107,0.3014487999708474
0.25,1.2142857142857144,point,NR,13.950000000000014,3.5438155512229295,25.594406219705355,0.5467756410256411,60.0,9,0.3202455437872225,0.3459325734701948,0.30453444587869705
0.25,1.5357142857142858,point,NR,18.45000000000001,4.141017252238618,34.75223920331615,0.6014358974358974,60.0,7,0.3396677207587465,0.3644861852376743,0.32956152716249165
0.25,1.8571428571428572,point,NR,17.95000000000001,4.742033525777028,39.044745632929065,0.6223525641025642,60.0,5,0.3473722143578867,0.3737771506783807,0.3340348688549277
0.25,2.178571428571429,point,NR,18.549999999999983,6.089001484165751,47.76224941788816,0.6570064102564104,60.0,3,0.3690846738948603,0.3978881075098559,0.35163324029300186
0.25,2.5,point,NR,21.549999999999997,7.299050788931215,52.16877244957098,0.6154935897435898,60.0,3,0.3995678863306685,0.43072569815613626,0.38119660580258374
0.25,2.8214285714285716,point,NR,28.150000000000013,9.889179298368516,61.25320204765936,0.5140384615384616,60.0,3,0.46652957529883043,0.503070131986786,0.44607366209139176
0.25,3.1428571428571432,point,NR,26.599999999999998,11.78450908399876,70.46969397468182,0.4360769230769231,60.0,2,0.5074514097850428,0.5535498469760534,0.47180877495446094
0.25,3.4642857142857144,point,NR,25.150000000000002,13.561044671661945,75.15491366429401,0.3505576923076923,60.0,1,0.5417667375904879,0.5954844006263877,0.49323809589768675
0.25,3.785714285714286,point,NR,30.550000000000004,17.370408366660335,84.16089416697803,0.17297435897435898,60.0,1,0.6297746972304948,0.6934073313462693,0.5706918594989662
0.25,4.107142857142858,point,NR,35.650000000000006,20.99493220282252,91.95241527105921,0.09085897435897435,60.0,1,0.6992524045644524,0.7676140263337147,0.6347839599414484
0.25,4.428571428571429,point,NR,37.949999999999996,22.628351650455066,95.28181291782748,0.06973076923076922,60.0,1,0.7279132334305095,0.7975206342052303,0.661905197346706
0.25,4.75,point,NR,41.74999999999999,25.319495108530422,100.56958820146659,0.047173076923076915,60.0,1,0.7730212541519861,0.8439635284090163,0.7052078238681209
0.5714285714285714,0.25,point,NR,12.250000000000002,3.693785424965557,7.1138108387822285,0.4206538461538462,60.0,31,0.31575481339048894,0.3376685960066347,0.2993789569124884
0.5714285714285714,0.5714285714285714,point,NR,11.149999999999975,4.010906062800156,1.987864081401316,0.3398782051282051,60.0,215,0.3708048934166308,0.3783930282569188,0.3502092239982586
0.5714285714285714,0.8928571428571429,point,NR,11.750000000000007,3.780208295762843,5.136176347732544,0.40223717948717946,60.0,71,0.32623695579325085,0.3448163648269509,0.3087967953147336
0.5714285714285714,1.2142857142857144,point,NR,14.050000000000008,3.3516939228568097,12.362084575730734,0.5081923076923077,60.0,19,0.3072842050948644,0.32736031112986275,0.2967932291591489
0.5714285714285714,1.5357142857142858,point,NR,15.650000000000004,3.43728189866867,20.279669394650128,0.5840192307692308,60.0,9,0.30893063556365297,0.3290296750084592,0.3011848919406783
0.5714285714285714,1.8571428571428572,point,NR,16.85000000000001,3.770750927264005,24.12705023905187,0.6118782051282051,60.0,7,0.31553864228927625,0.33557224323961865,0.3089089848142833
0.5714285714285714,2.178571428571429,point,NR,20.650000000000013,5.0824643153826035,32.12696704074066,0.6349294871794873,60.0,5,0.34369165193473267,0.3643076013489879,0.33891270583951183
0.5714285714285714,2.5,point,NR,18.349999999999994,5.713726363084892,36.01965260829893,0.6669102564102564,60.0,3,0.3459971540735209,0.3685948195208234,0.3352376285799993
0.5714285714285714,2.8214285714285716,point,NR,24.95000000000001,8.383640621878747,44.634619780418106,0.5456346153846154,60.0,3,0.4160195043082727,0.44475753847512733,0.40226016433925327
0.5714285714285714,3.1428571428571432,point,NR,32.550000000000004,11.010585184851333,53.4786583316218,0.45834615384615396,60.0,3,0.4827732097077213,0.5154287919926812,0.469596428085885
0.5714285714285714,3.4642857142857144,point,NR,26.200000000000006,11.95784865615982,57.83437749400113,0.40980769230769226,60.0,2,0.493492866616565,0.5348778273901224,0.46171152474064336
0.5714285714285714,3.785714285714286,point,NR,28.85,15.700328944922386,66.59205477856655,0.2281794871794872,60.0,1,0.5755493912749841,0.6287705935954686,0.5280090109071031
0.5714285714285714,4.107142857142858,point,NR,33.95,19.288629920463258,74.20446151255912,0.11364743589743588,60.0,1,0.6492647908987359,0.7087467642391024,0.5948785518348632
0.5714285714285714,4.428571428571429,point,NR,36.25,20.908993956713722,77.46583059286806,0.08634615384615385,60.0,1,0.6786212096744918,0.7396237942273072,0.6224463282850836
